Event	ID	Name			Wwise Object Path	Notes
	102550024	sfx_enemies_germslime_death			\Default Work Unit\Enemies\Germ Slime\Death\sfx_enemies_germslime_death	
	228935287	sfx_weapon_germoblaster_reload			\Default Work Unit\Weapons\GermOBlaster\sfx_weapon_germoblaster_reload	
	1012708473	sfx_enemies_bloodcell_death			\Default Work Unit\Enemies\Blood Cell\Death\sfx_enemies_bloodcell_death	
	1098573287	sfx_enemies_bloodcell_idle			\Default Work Unit\Enemies\Blood Cell\Idle\sfx_enemies_bloodcell_idle	
	1104292844	sfx_weapon_pill_throw			\Default Work Unit\Weapons\PIll Grenade\sfx_weapon_pill_throw	
	1355404468	sfx_weapon_healmatic500_fire			\Default Work Unit\Weapons\Healmatic500\sfx_weapon_healmatic500_fire	
	1631753596	sfx_weapon_germoblaster_fire			\Default Work Unit\Weapons\GermOBlaster\sfx_weapon_germoblaster_fire	
	1796022955	sfx_weapon_pill_reload			\Default Work Unit\Weapons\PIll Grenade\sfx_weapon_pill_reload	
	1948922918	sfx_enemies_germspike_death			\Default Work Unit\Enemies\Germ Spike\Germ Spike\Death\sfx_enemies_germspike_death	
	2334927414	sfx_enemies_germspike_idle			\Default Work Unit\Enemies\Germ Spike\Germ Spike\Idle\sfx_enemies_germspike_idle	
	2968060059	sfx_weapon_pill_explode			\Default Work Unit\Weapons\PIll Grenade\sfx_weapon_pill_explode	
	3024126497	Test_Pop			\Default Work Unit\Test_Pop	
	3055844788	sfx_enemies_germslime_idle			\Default Work Unit\Enemies\Germ Slime\Idle\sfx_enemies_germslime_idle	
	3217822573	Amb_Hospital_Loop			\Default Work Unit\Amb_Hospital_Loop	
	3292684059	sfx_enemies_fatblob_idle			\Default Work Unit\Enemies\Fat Blob\Idle\sfx_enemies_fatblob_idle	
	3358445023	sfx_weapon_healmatic500_reload			\Default Work Unit\Weapons\Healmatic500\sfx_weapon_healmatic500_reload	
	3791724757	sfx_weapon_all_swap			\Default Work Unit\Weapons\Weapon Swap\sfx_weapon_all_swap	
	3801009704	sfx_enemies_fatblob_dissolve			\Default Work Unit\Enemies\Fat Blob\Dissolve\sfx_enemies_fatblob_dissolve	
	3902373752	sfx_enemies_bloodcell_hit			\Default Work Unit\Enemies\Blood Cell\Hit\sfx_enemies_bloodcell_hit	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	96736177	sfx_weapon_pill_throw_01	Y:\Documents\Codename IBS Git\Codename_IBS_Repo\Codename_IBS_Beta\Codename_IBS_Beta_WwiseProject\.cache\Windows\SFX\sfx_weapon_pill_throw_01_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Pill Grenade\sfx_weapon_pill_throw_01		72736
	132580410	sfx_weapon_germoblaster_reload_05	Y:\Documents\Codename IBS Git\Codename_IBS_Repo\Codename_IBS_Beta\Codename_IBS_Beta_WwiseProject\.cache\Windows\SFX\sfx_weapon_germoblaster_reload_05_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\GermOBlaster\Reload\sfx_weapon_germoblaster_reload_05		107736
	189460687	sfx_enemy_bloodcell_idle_03	Y:\Documents\Codename IBS Git\Codename_IBS_Repo\Codename_IBS_Beta\Codename_IBS_Beta_WwiseProject\.cache\Windows\SFX\sfx_enemy_bloodcell_idle_03_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Blood Cell\Idle\sfx_enemy_bloodcell_idle_03		1363696
	210565171	Pop	Y:\Documents\Codename IBS Git\Codename_IBS_Repo\Codename_IBS_Beta\Codename_IBS_Beta_WwiseProject\.cache\Windows\SFX\1214698.audio-TOONMisc-Ping_Pop_2-RogueWaves-AnimeStudio_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Pop		500284
	214146599	sfx_enemy_germslime_idle_02	Y:\Documents\Codename IBS Git\Codename_IBS_Repo\Codename_IBS_Beta\Codename_IBS_Beta_WwiseProject\.cache\Windows\SFX\sfx_enemy_germslime_idle_02_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Germ Slime\Idle\sfx_enemy_germslime_idle_02		2252844
	224893202	sfx_weapon_germoblaster_fire_05	Y:\Documents\Codename IBS Git\Codename_IBS_Repo\Codename_IBS_Beta\Codename_IBS_Beta_WwiseProject\.cache\Windows\SFX\GermOBlaster Fire\sfx_weapon_germoblaster_fire_05_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\GermOBlaster\GermOBlaster Fire\sfx_weapon_germoblaster_fire_05		14164
	287086954	sfx_weapon_germoblaster_fire_01	Y:\Documents\Codename IBS Git\Codename_IBS_Repo\Codename_IBS_Beta\Codename_IBS_Beta_WwiseProject\.cache\Windows\SFX\GermOBlaster Fire\sfx_weapon_germoblaster_fire_01_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\GermOBlaster\GermOBlaster Fire\sfx_weapon_germoblaster_fire_01		14476
	292638115	sfx_enemy_germspike_idle_01	Y:\Documents\Codename IBS Git\Codename_IBS_Repo\Codename_IBS_Beta\Codename_IBS_Beta_WwiseProject\.cache\Windows\SFX\sfx_enemy_germspike_idle_01_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Germ Spike\Idle\sfx_enemy_germspike_idle_01		1826952
	316645899	sfx_weapon_germoblaster_reload_04	Y:\Documents\Codename IBS Git\Codename_IBS_Repo\Codename_IBS_Beta\Codename_IBS_Beta_WwiseProject\.cache\Windows\SFX\sfx_weapon_germoblaster_reload_04_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\GermOBlaster\Reload\sfx_weapon_germoblaster_reload_04		148708
	416187476	sfx_weapon_pill_reload_01	Y:\Documents\Codename IBS Git\Codename_IBS_Repo\Codename_IBS_Beta\Codename_IBS_Beta_WwiseProject\.cache\Windows\SFX\sfx_weapon_pill_reload_01_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Pill Grenade\sfx_weapon_pill_reload_01		60244
